ID,Year_Birth,Education,Marital_Status,Income,MntWines,MntFruits,MntGoldProds,NumWebPurchases,NumStorePurchases,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Response
365,1975,Graduation,Married,146209,690,42,398,13,14,1,1,1,0,1,1
366,1972,Master,Divorced,68845,205,108,431,7,18,1,0,0,1,0,1
367,1989,Basic,Single,77932,11,151,237,1,8,0,0,0,0,0,0
368,1978,Master,Divorced,112124,489,16,103,0,10,0,0,0,0,0,0
369,1976,Master,Single,111659,275,132,209,8,7,0,0,1,1,1,1
370,1978,Graduation,Divorced,53062,692,147,41,13,0,0,0,0,1,0,1
371,1987,Basic,Single,95713,241,276,315,11,7,1,1,0,0,0,0
372,1985,PhD,Divorced,107263,215,231,467,2,12,0,0,1,0,1,0
373,1996,Graduation,Single,115756,250,227,453,10,3,1,0,1,1,1,0
374,1985,PhD,Married,80461,810,138,267,0,7,0,0,1,1,0,1
375,1982,Master,Married,95418,125,210,385,6,2,0,0,0,1,1,1
376,1968,Master,Single,86672,993,27,262,12,8,0,0,0,1,1,1
377,1971,Graduation,Divorced,148232,216,50,335,14,1,1,0,1,0,1,1
378,1960,Graduation,Single,54832,305,260,386,9,1,1,0,0,1,1,1
379,1960,PhD,Divorced,147335,796,260,364,4,12,0,0,1,0,0,1
380,1993,Basic,Married,51966,184,7,258,4,14,1,0,1,0,1,0
381,1991,PhD,Divorced,92545,38,137,282,13,11,1,0,0,1,0,0
382,1984,Graduation,Married,32987,222,37,113,0,3,0,1,1,0,0,1
383,1999,PhD,Divorced,57311,183,110,362,14,7,0,1,1,1,0,0
384,1960,Graduation,Divorced,51575,494,219,39,14,8,1,1,1,0,0,1
385,1975,PhD,Divorced,83852,426,222,485,8,4,1,1,0,1,1,0
386,1998,Graduation,Single,147650,177,135,416,6,19,1,0,1,0,1,1
387,1964,Graduation,Single,21007,918,255,219,7,17,0,1,1,0,1,0
388,1981,Graduation,Married,90981,427,48,128,8,10,0,1,1,1,0,0
389,1988,Basic,Married,96242,293,291,7,5,14,1,0,1,1,0,1
390,1962,PhD,Single,67517,851,77,100,11,8,0,1,1,0,0,1
391,1971,PhD,Married,130022,150,104,415,4,16,0,1,1,0,1,0
392,1985,PhD,Single,49257,383,168,379,5,11,1,0,1,1,0,0
393,1975,Graduation,Divorced,107272,637,216,175,10,6,1,0,0,0,1,1
394,1996,PhD,Married,62207,812,118,106,1,9,0,0,0,1,1,0
395,1981,PhD,Married,33281,307,189,100,3,9,0,1,1,0,1,1
396,1988,Graduation,Single,81246,335,254,259,2,12,1,1,0,1,1,1
397,1973,Master,Married,21435,945,265,477,12,18,0,0,0,0,0,0
398,1987,Graduation,Married,118875,745,148,453,6,10,0,0,1,1,1,1
399,1964,PhD,Divorced,120686,891,163,365,8,12,1,1,0,1,0,0
400,1989,Graduation,Married,111357,374,139,245,4,7,1,0,1,0,1,0
401,1964,Master,Divorced,46660,7,257,274,5,7,0,1,1,1,0,1
402,1971,Graduation,Single,25084,340,268,31,9,3,0,0,1,0,0,0
403,1975,PhD,Married,102197,128,180,136,13,14,0,0,1,1,1,1
404,1985,Master,Divorced,33507,775,159,11,11,10,1,1,1,1,1,1
405,1985,Basic,Single,92595,668,287,394,11,10,0,0,0,1,1,1
406,1980,PhD,Married,103807,351,287,301,1,0,0,0,1,0,0,0
407,1998,Master,Single,65539,357,225,374,2,16,1,0,0,1,1,1
408,1995,Master,Married,135953,516,10,15,2,14,1,1,1,0,1,0
409,1992,Basic,Single,27491,494,9,128,11,19,0,0,1,1,0,1
410,1989,Graduation,Single,147706,85,270,62,11,5,1,0,1,0,1,1
411,1996,Graduation,Divorced,132831,174,272,108,14,14,1,0,0,0,0,1
412,1982,PhD,Single,70192,801,182,374,8,8,0,0,1,0,1,0
413,1969,Basic,Married,100395,192,152,20,14,13,1,0,1,1,0,0
414,1964,Graduation,Married,143797,310,123,157,6,17,1,0,1,0,0,1
415,1995,Basic,Divorced,83888,118,113,268,7,16,0,1,1,1,1,1
416,1993,Graduation,Married,93609,217,277,161,10,17,1,1,0,0,0,0
417,1990,Master,Married,29077,426,212,259,9,4,0,0,1,0,1,0
418,1969,Graduation,Married,137440,969,171,411,10,19,0,1,0,0,1,0
419,1978,Basic,Single,142901,413,287,101,8,19,1,1,1,0,0,1
420,1991,Master,Single,40953,113,173,222,5,8,1,0,0,1,1,0
421,1960,Master,Married,96919,977,112,58,3,10,1,1,0,0,0,1
422,1964,Master,Divorced,134682,144,121,246,11,0,0,1,1,0,0,0
423,1963,Basic,Single,141041,537,31,127,0,17,1,1,1,1,0,1
424,1975,PhD,Divorced,87889,647,221,282,7,5,0,1,0,0,0,1
425,1983,PhD,Married,43821,302,118,324,6,1,1,1,1,0,0,1
426,1975,PhD,Married,57567,743,38,24,1,14,1,1,1,0,0,0
427,1961,Basic,Single,135374,880,267,130,7,13,1,1,1,0,0,0
428,1987,Master,Married,44860,587,232,352,11,4,0,1,0,1,0,0
429,1991,PhD,Single,41195,986,17,195,4,5,1,0,1,1,1,1
430,1986,Basic,Married,97475,839,148,280,6,5,1,0,1,0,1,1
431,1979,PhD,Married,110874,344,148,403,3,17,0,1,1,1,0,0
432,1983,Graduation,Single,107266,813,125,417,4,13,0,1,0,1,1,1
433,1971,PhD,Single,41427,963,237,153,7,9,1,0,1,0,1,1
434,1994,PhD,Single,120732,800,134,381,0,13,1,1,0,1,1,1
435,1992,Master,Married,47083,0,150,132,0,12,1,1,1,0,1,0
436,1992,Basic,Married,107046,146,235,226,14,2,0,0,0,1,1,1
437,1996,Master,Divorced,77372,286,223,188,3,5,0,0,1,1,1,0
438,1971,Master,Single,143786,975,202,475,2,7,0,0,1,1,0,0
439,1962,Master,Married,64064,653,255,476,12,11,0,1,0,0,1,0
440,1960,Master,Married,27813,52,85,264,9,12,1,1,0,1,1,0
441,1992,Master,Single,51598,303,149,371,11,10,0,0,0,0,1,0
442,1999,PhD,Divorced,132718,68,234,485,1,11,0,0,1,0,1,1
443,1969,Master,Single,146879,360,21,433,11,0,0,1,1,1,0,0
444,1988,Master,Divorced,113106,601,284,133,2,16,1,0,1,0,0,0
445,1972,Basic,Married,47082,957,268,210,10,15,1,1,1,1,0,0
446,1971,Graduation,Divorced,49241,219,257,59,14,10,0,1,0,0,0,1
447,1990,PhD,Married,116214,961,28,427,14,12,0,0,1,0,1,1
448,1961,PhD,Single,64569,703,212,376,10,17,1,0,1,1,0,1
449,1994,PhD,Single,31745,965,282,394,13,10,1,1,1,1,0,1
450,1982,Master,Single,46029,574,49,449,10,11,1,0,1,1,0,0
451,1976,Master,Divorced,33025,584,94,430,0,5,1,0,1,1,0,0
452,1985,Master,Married,121660,160,87,363,0,8,1,0,1,0,1,1
453,1967,Basic,Single,143395,680,43,363,5,15,1,0,1,0,0,1
454,1988,Graduation,Single,34288,88,277,456,4,3,1,1,0,0,1,1
455,1985,Master,Married,109186,687,170,212,7,2,1,1,1,1,0,1
456,1969,Graduation,Single,26540,780,188,215,1,15,0,1,1,0,1,0
457,1985,Basic,Married,117768,584,183,225,3,11,0,1,1,1,1,1
458,1993,PhD,Married,101958,756,2,469,7,10,0,0,1,0,0,1
459,1966,Master,Married,88878,588,190,130,11,4,0,0,0,1,0,1
460,1963,Graduation,Married,61846,158,117,75,5,17,0,1,0,0,0,1
461,1970,Graduation,Married,121148,488,18,475,0,18,0,1,0,0,0,1
462,1988,Master,Divorced,95932,970,22,285,14,5,1,0,0,1,1,1
463,1995,PhD,Single,37482,323,29,473,3,17,1,1,0,0,1,1
464,1984,PhD,Divorced,43411,609,294,495,0,5,0,1,0,1,0,0
465,1980,PhD,Single,70975,380,107,276,12,3,0,0,1,0,0,0
466,1995,Basic,Divorced,80545,101,280,155,1,11,1,1,0,0,1,0
467,1969,Graduation,Married,132302,493,127,247,4,18,1,0,0,1,0,0
468,1996,Graduation,Single,98797,643,228,217,13,1,1,0,1,1,1,0
469,1968,Graduation,Single,72307,613,110,189,7,16,0,1,0,0,0,0
470,1983,Basic,Divorced,23093,18,135,416,7,10,1,0,1,0,1,1
471,1994,Graduation,Divorced,97258,453,185,468,10,10,0,1,1,0,1,1
472,1994,Basic,Single,42042,481,143,162,2,15,0,0,0,0,1,0
473,1995,PhD,Divorced,72930,593,71,179,10,1,1,1,1,0,1,1
474,1977,Master,Divorced,137584,396,128,33,12,1,1,1,0,0,1,0
475,1998,Graduation,Divorced,64413,278,260,40,3,7,0,1,0,1,0,1
476,1991,Graduation,Married,133387,850,2,306,9,12,1,0,1,1,1,1
477,1983,PhD,Married,113623,364,103,430,10,9,1,0,1,1,0,1
478,1982,Master,Divorced,117883,330,223,337,13,7,0,1,0,0,1,1
479,1991,Basic,Divorced,53756,640,9,313,5,3,1,0,1,0,1,1
480,1996,Master,Married,73268,343,230,74,10,14,0,1,1,0,0,1
481,1971,PhD,Married,59214,821,218,440,10,0,0,1,0,1,0,0
482,1972,PhD,Single,101871,454,65,278,9,10,1,0,0,1,0,0
483,1982,Master,Single,147844,600,111,175,2,6,0,1,1,0,0,1
484,1984,Basic,Married,48602,724,12,383,1,16,0,0,0,0,1,0
485,1994,Basic,Divorced,73331,654,85,149,5,19,1,1,0,1,0,1
486,1989,Graduation,Divorced,68901,64,233,272,10,17,1,0,0,1,1,0
487,1976,Basic,Divorced,119986,75,89,324,12,11,1,1,0,1,0,1
488,1979,Master,Divorced,83416,710,53,107,14,8,0,1,0,0,0,0
489,1984,PhD,Single,52196,142,11,138,4,4,0,0,0,0,1,1
490,1981,Graduation,Married,148386,916,208,349,13,9,1,1,0,0,1,0
491,1972,Graduation,Divorced,25626,914,13,270,9,3,0,1,1,1,0,1
492,1978,PhD,Single,27424,827,120,346,4,4,1,0,0,1,1,0
493,1995,Basic,Divorced,32857,604,19,418,9,9,1,1,1,0,1,1
494,1971,PhD,Married,130459,472,74,288,12,10,0,0,1,0,1,1
495,1978,Basic,Single,135621,416,242,211,4,9,1,1,1,1,1,1
496,1971,PhD,Married,39982,304,222,380,9,7,0,0,0,0,1,0
497,1968,Master,Married,96961,735,69,271,11,1,0,1,0,1,1,0
498,1966,Basic,Single,21980,496,210,417,4,7,1,1,1,1,1,0
499,1987,Master,Single,68290,290,100,65,2,15,0,1,0,0,1,1
500,1973,Graduation,Single,46431,939,185,482,6,4,1,0,1,1,0,0
